2 -55.0731 -55.0731 2 1 
2.00919 -55.106 -55.106 1 1 
2.01843 -55.1389 -55.1389 1 1 
2.03704 -55.2048 -55.2048 1 1 
2.07484 -55.3369 -55.3369 1 1 
2.13298 -55.5359 -55.5359 1 1 
2.22351 -55.836 -55.836 1 1 
2.35612 -56.256 -56.256 1 1 
2.49708 -56.6793 -56.6793 1 1 
2.64676 -57.1054 -57.1054 1 1 
2.80555 -57.5336 -57.5336 1 1 
2.97384 -57.9634 -57.9634 1 1 
3.15202 -58.3941 -58.3941 1 1 
3.34045 -58.825 -58.825 1 1 
3.5395 -59.2553 -59.2553 1 1 
3.74954 -59.6841 -59.6841 1 1 
3.97091 -60.1107 -60.1107 1 1 
4.20391 -60.5342 -60.5342 1 1 
4.44885 -60.9537 -60.9537 1 1 
4.70596 -61.3683 -61.3683 1 1 
4.97545 -61.7773 -61.7773 1 1 
5.25746 -62.1796 -62.1796 1 1 
5.55207 -62.5746 -62.5746 1 1 
5.85926 -62.9614 -62.9614 1 1 
6.17896 -63.3392 -63.3392 1 1 
6.51098 -63.7073 -63.7073 1 1 
6.85507 -64.0652 -64.0652 1 1 
7.21088 -64.4123 -64.4123 1 1 
7.57797 -64.7482 -64.7482 1 1 
7.95586 -65.0725 -65.0725 1 1 
8.34399 -65.3851 -65.3851 1 1 
8.74177 -65.6857 -65.6857 1 1 
9.14857 -65.9745 -65.9745 1 1 
9.56375 -66.2513 -66.2513 1 1 
9.98668 -66.5166 -66.5166 1 1 
10.4167 -66.7703 -66.7703 1 1 
10.8533 -67.013 -67.013 1 1 
11.2958 -67.2448 -67.2448 1 1 
11.7437 -67.4662 -67.4662 1 1 
12.1964 -67.6775 -67.6775 1 1 
12.6536 -67.8793 -67.8793 1 1 
13.1148 -68.0719 -68.0719 1 1 
13.5795 -68.2558 -68.2558 1 1 
14.0475 -68.4314 -68.4314 1 1 
14.5183 -68.5991 -68.5991 1 1 
14.9918 -68.7594 -68.7594 1 1 
15.4677 -68.9126 -68.9126 1 1 
15.9456 -69.0591 -69.0591 1 1 
16.4255 -69.1993 -69.1993 1 1 
16.9071 -69.3335 -69.3335 1 1 
17.3903 -69.4621 -69.4621 1 1 
17.8748 -69.5853 -69.5853 1 1 
18.3606 -69.7034 -69.7034 1 1 
18.8476 -69.8168 -69.8168 1 1 
19.3356 -69.9257 -69.9257 1 1 
19.8245 -70.0303 -70.0303 1 1 
20.3143 -70.1309 -70.1309 1 1 
2 -55.0731 -55.0731 2 1 
1.99086 -55.0402 -55.0402 1 1 
1.98176 -55.0074 -55.0074 1 1 
1.9637 -54.9418 -54.9418 1 1 
1.92813 -54.811 -54.811 1 1 
1.87612 -54.6157 -54.6157 1 1 
1.80103 -54.3246 -54.3246 1 1 
1.70235 -53.9244 -53.9244 1 1 
1.60987 -53.5289 -53.5289 1 1 
1.52323 -53.1382 -53.1382 1 1 
1.44208 -52.7523 -52.7523 1 1 
1.36609 -52.3711 -52.3711 1 1 
1.29493 -51.9946 -51.9946 1 1 
1.2283 -51.6226 -51.6226 1 1 
1.1659 -51.255 -51.255 1 1 
1.10745 -50.8917 -50.8917 1 1 
1.05267 -50.5324 -50.5324 1 1 
1.00132 -50.177 -50.177 1 1 
0.95314 -49.8254 -49.8254 1 1 
0.907914 -49.4772 -49.4772 1 1 
0.865421 -49.1324 -49.1324 1 1 
0.825456 -48.7908 -48.7908 1 1 
0.787827 -48.4521 -48.4521 1 1 
0.752349 -48.1162 -48.1162 1 1 
0.718853 -47.783 -47.783 1 1 
0.687175 -47.4521 -47.4521 1 1 
0.657162 -47.1235 -47.1235 1 1 
0.647954 -47.0196 -47.0196 1 1 
0.619915 -46.6937 -46.6937 2 1 
0.593217 -46.3697 -46.3697 2 1 
0.567732 -46.0473 -46.0473 2 1 
0.54334 -45.7264 -45.7264 2 1 
0.519925 -45.4068 -45.4068 2 1 
0.497377 -45.0883 -45.0883 2 1 
0.475591 -44.7707 -44.7707 2 1 
0.454468 -44.4537 -44.4537 2 1 
0.43391 -44.1373 -44.1373 2 1 
0.413824 -43.8211 -43.8211 2 1 
0.394123 -43.5048 -43.5048 2 1 
0.374718 -43.1883 -43.1883 2 1 
0.355527 -42.8713 -42.8713 2 1 
0.336467 -42.5535 -42.5535 2 1 
0.317461 -42.2345 -42.2345 2 1 
0.29843 -41.9142 -41.9142 2 1 
0.2793 -41.5921 -41.5921 2 1 
0.259997 -41.2679 -41.2679 2 1 
0.24045 -40.9414 -40.9414 2 1 
0.22059 -40.6121 -40.6121 2 1 
0.200348 -40.2797 -40.2797 2 1 
0.179659 -39.9438 -39.9438 2 1 
0.158461 -39.604 -39.604 2 1 
0.136693 -39.26 -39.26 2 1 
0.1143 -38.9115 -38.9115 2 1 
0.0912274 -38.558 -38.558 2 1 
0.0674291 -38.1991 -38.1991 2 1 
0.0428628 -37.8346 -37.8346 2 1 
0.017493 -37.4642 -37.4642 2 1 
0.0153463 -37.4331 -37.4331 1 1 
-0.0109239 -37.0559 -37.0559 1 1 
0.0153472 -37.4331 -37.4331 4 6 
0.0153486 -37.4119 -37.4544 3 6 
0.0153491 -37.3695 -37.4968 3 6 
0.0153517 -37.2845 -37.5816 3 6 
0.0153593 -37.1572 -37.7088 3 6 
0.0153793 -36.9658 -37.9002 3 6 
0.0154283 -36.6779 -38.1865 3 6 
0.0155423 -36.2451 -38.6178 3 6 
0.0157432 -35.7081 -39.1514 3 6 
0.0159961 -35.1691 -39.687 3 6 
0.0162806 -34.6284 -40.224 3 6 
